OrderDate,Customer,CustomerType,TotalAmount,Discount
2024-11-04,Josh Martinez (carrepairshop2),Car Repair Shop,1105.00,No discount
2024-11-04,Adrian Parker (client2),Client,650.00,No discount
2024-11-04,Adrian Parker (client2),Client,650.00,No discount
2024-11-04,Josh Martinez (carrepairshop2),Car Repair Shop,560.00,No discount
2024-11-04,Nicole Perkins (carrepairshop),Car Repair Shop,335.00,No discount
2024-11-04,Nicole Perkins (carrepairshop),Car Repair Shop,320.00,No discount
2024-11-04,Adrian Parker (client2),Client,280.00,No discount
2024-11-04,Nicole Perkins (carrepairshop),Car Repair Shop,194.00,No discount
2024-11-04,Josh Martinez (carrepairshop2),Car Repair Shop,192.00,No discount
2024-11-04,Josh Martinez (carrepairshop2),Car Repair Shop,180.00,No discount
2024-11-04,Josh Martinez (carrepairshop2),Car Repair Shop,157.00,No discount
